"Timestamp","Unique ID","I was interested in the simulation environment and its possibilities","I thought it was fun","I was fully occupied with the simulation","I felt happy","It gave me a bad mood","I thought about other things","I found it tiresome","I felt competent","I thought it was hard","It was aesthetically pleasing","I forgot everything around me","I felt good","I was good at it","I felt bored ","I felt successful ","I felt imaginative","I felt that I could explore things","I enjoyed it ","I was fast in understanding the simulation's mechanics","I felt annoyed","I felt pressured","I felt irritable","I lost track of time","I felt challenged ","I found it impressive ","I was deeply concentrated in the simulation ","It felt like a rich experience ","I lost connection with the outside world","I felt time pressure","I had to put a lot of effort into it","To what extend did the simulation hold your attention?","To what extend did you feel you were focused on the simulation?","How much attention did you put into fulfilling the tasks?","Did you feel you were trying your best?","To what extend did you lose track of time?","To what extend did you feel consciously aware of being in the real world whilst the simulation?","To what extend did you forget about your everyday concerns?","To what extend were you aware of yourself in your surroundings?","To what extent did you notice events taking place around you?","Did you feel the urge at any point to stop the simulation and see what was happening around you?","To what extent did you feel that you were interacting with the virtual environment?","To what extent did you feel as though you were separated from your real-world environment?","To what extent did you feel that the simulation was something you were experiencing, rather than something you were just doing?","To what extent was your sense of being in the game environment stronger than your sense of being in the real world?","At any point, did you find yourself become so involved that you were unaware you were even using controls?","To what extent did you feel as though you were moving through the simulation according to your own will?","To what extent did you find the tasks challenging?","Were there any times during the simulation in which you just wanted to give up?","To what extent did you feel motivated while fulfilling the tasks?","To what extent did you find the simulation tasks easy?","To what extent did you feel like you were making progress? ","How well do you think you performed fulfilling the tasks?","To what extent did you feel emotionally attached to the simulation?","To what extent were you interested in seeing how the simulations events would progress?","How much did you want to fulfill all of the tasks?","At any point did you find yourself become so involved that you wanted to speak to the simulation directly?","To what extent did you enjoy the graphics and the imagery?","How much would you say you enjoyed the simulation?","Would you like to use the simulation again?"
"2019/11/20 5:06:13 PM PST","34528","4","4","4","3","0","1","0","3","2","3","1","3","1","0","2","3","1","3","3","1","0","0","0","2","3","4","3","0","1","2","3","3","4","4","1","4","0","3","2","0","2","1","2","3","2","3","2","0","3","1","2","1","0","4","4","1","3","4","3"
"2019/11/20 5:25:29 PM PST","73309","4","4","3","3","0","0","0","1","1","3","2","3","2","0","3","3","3","4","4","0","0","0","1","2","3","3","3","1","0","3","4","4","4","4","3","1","3","1","2","0","3","3","3","3","3","4","2","0","3","2","4","2","1","3","4","2","3","4","4"
"2019/11/20 5:49:38 PM PST","90725","3","3","4","3","0","0","0","3","0","2","1","3","3","0","3","1","1","3","4","0","0","0","1","3","3","4","3","2","0","3","4","4","3","3","2","2","3","2","2","2","3","3","3","1","3","0","2","0","3","2","3","4","3","3","4","0","2","2","3"
"2019/11/20 5:56:34 PM PST","74919","4","4","4","4","0","0","0","2","0","3","1","4","2","0","3","2","2","4","4","0","0","0","3","2","4","3","3","3","0","4","4","3","4","4","3","1","","1","1","0","4","3","4","3","3","3","2","0","4","2","4","3","4","4","4","3","3","4","4"
"2019/11/20 6:04:54 PM PST","31808","4","4","4","4","1","1","1","2","3","4","2","3","0","1","1","3","4","4","2","2","1","0","1","2","4","3","3","1","0","1","4","4","4","3","0","2","1","2","2","1","3","3","3","2","2","3","2","0","3","2","3","2","1","3","3","2","3","3","4"
"2019/11/20 6:33:38 PM PST","30842","3","4","4","3","0","0","0","1","2","3","2","3","1","0","1","2","3","4","4","0","0","0","1","3","4","3","4","2","0","2","3","4","4","3","2","2","4","3","1","0","3","4","3","2","0","2","2","0","3","1","3","2","2","3","4","0","2","3","3"
"2019/11/22 4:49:48 PM PST","83411","3","3","4","3","0","0","0","3","2","2","3","3","3","0","2","2","1","4","3","1","0","0","1","2","4","4","3","3","0","2","4","4","3","3","2","2","3","1","1","0","3","3","2","3","2","2","2","0","3","2","3","3","1","2","4","2","3","4","4"
"2019/11/22 5:06:42 PM PST","66587","4","4","4","4","0","0","3","3","1","4","3","3","2","1","2","3","4","4","3","0","1","1","4","4","4","4","4","4","0","1","4","4","4","4","4","3","4","2","2","1","4","3","4","3","1","3","3","1","4","2","3","2","2","4","4","3","4","4","4"
"2019/11/22 5:12:51 PM PST","61262","4","4","4","4","0","0","0","3","3","3","3","4","3","0","3","2","2","3","4","1","3","0","2","3","4","4","","3","1","3","4","4","4","4","3","1","4","1","0","0","4","3","4","4","4","4","1","0","4","4","4","4","3","4","4","3","4","4","4"
"2019/11/22 5:23:05 PM PST","60978","4","4","4","4","0","1","0","3","3","4","3","4","1","1","2","2","3","4","3","0","0","0","1","2","4","4","4","3","0","1","4","4","3","1","2","2","3","2","1","0","4","4","4","4","2","4","2","0","2","2","3","2","1","4","3","1","4","4","4"
"2019/11/22 6:08:45 PM PST","68131","4","4","4","4","0","3","2","4","0","3","4","4","2","1","3","4","3","4","4","1","0","0","4","2","4","4","4","4","0","3","4","4","4","4","3","1","4","2","3","0","4","4","2","3","3","1","3","0","4","2","4","3","1","4","4","4","2","4","4"
"2019/11/22 6:17:53 PM PST","96478","4","3","3","4","0","3","1","3","0","3","1","3","2","0","1","0","0","4","4","0","0","0","1","2","3","1","2","1","2","3","3","3","4","4","3","2","3","3","2","0","3","1","2","2","0","1","2","1","4","2","2","2","2","4","4","0","3","4","4"
"2019/11/22 6:30:10 PM PST","59656","4","4","4","3","2","4","2","2","2","4","3","3","3","2","2","3","2","4","4","0","0","0","4","2","4","4","4","4","0","2","3","3","3","3","3","2","4","1","0","0","3","3","2","2","3","2","2","1","3","3","3","3","2","3","3","1","4","4","4"
"2019/11/23 4:55:46 PM PST","48011","4","4","3","4","0","0","0","3","1","2","2","3","4","1","3","2","2","3","3","0","0","0","4","1","3","3","3","3","0","0","3","3","3","3","2","1","4","1","1","0","4","3","3","3","3","3","1","0","3","3","3","3","3","4","4","2","3","4","4"
"2019/11/23 5:03:43 PM PST","12484","3","4","3","4","0","2","3","4","1","3","1","3","3","4","3","1","1","1","2","2","1","1","0","0","0","0","0","0","0","0","1","0","0","3","0","3","0","4","3","3","1","2","2","2","0","0","0","0","0","3","0","2","2","2","2","2","0","0","0"
"2019/11/23 5:24:42 PM PST","33319","4","4","4","4","0","0","2","3","2","4","4","4","3","1","3","2","1","4","3","1","4","4","4","4","4","4","4","4","2","3","4","4","4","4","4","1","4","1","0","4","4","4","3","4","1","4","1","0","4","3","3","3","4","4","4","1","4","4","4"
"2019/11/23 5:29:32 PM PST","43974","3","4","4","3","0","1","1","3","1","3","3","3","3","0","3","3","3","4","3","0","0","0","2","2","3","3","3","2","1","2","3","3","3","3","2","2","3","2","3","0","3","3","2","2","2","3","2","0","3","3","3","3","1","4","4","3","3","4","4"
"2019/11/23 5:51:39 PM PST","11171","4","4","4","4","0","0","0","4","0","3","3","4","4","0","3","3","3","4","4","0","0","0","2","3","3","3","3","2","0","0","4","4","4","3","2","2","3","2","1","0","4","2","2","3","2","3","2","0","4","3","4","4","2","2","4","1","4","4","4"
"2019/12/03 2:15:11 PM PST","71751","2","4","4","4","0","0","0","2","2","4","4","4","2","0","3","3","4","4","4","0","0","0","2","2","3","4","2","3","0","4","4","4","4","4","3","1","4","0","0","0","2","3","3","2","1","3","3","0","4","1","4","2","3","4","4","3","3","4","4"
"2019/12/03 4:07:07 PM PST","48450","3","2","2","1","1","2","1","1","2","3","1","3","0","1","2","2","1","3","2","0","0","0","1","3","2","1","2","1","1","3","3","3","4","3","2","2","1","1","2","0","3","2","2","3","2","2","3","1","3","1","3","2","1","3","4","0","2","3","3"
"2019/12/03 4:27:21 PM PST","99239","4","4","4","4","0","0","0","4","0","4","4","4","4","0","3","3","3","4","4","0","0","0","4","3","4","4","4","4","0","1","4","4","4","4","4","0","4","0","0","0","4","4","4","3","3","4","2","0","4","2","4","3","4","2","4","4","4","4","4"
"2019/12/04 12:31:46 PM PST","88522","4","4","4","4","0","3","2","1","1","3","3","3","1","0","2","3","3","4","3","0","0","0","4","4","4","3","4","4","0","1","4","3","3","4","4","1","3","1","1","0","3","3","4","4","4","4","3","0","4","1","3","2","3","4","4","3","4","4","4"
"2020/01/15 5:49:05 PM PST","22203","3","4","4","4","0","0","1","3","2","3","4","3","3","1","2","2","3","4","3","1","1","0","3","3","3","4","2","2","2","4","4","4","4","4","3","3","2","2","1","1","3","3","1","3","3","3","3","2","2","2","4","4","1","3","4","2","3","4","4"
"2020/01/15 6:02:03 PM PST","16286","4","4","4","2","0","2","2","3","3","2","1","2","3","1","4","3","1","3","4","2","0","0","3","3","4","4","3","2","1","2","3","3","4","3","2","3","3","3","4","1","3","2","2","3","1","2","2","0","4","2","3","3","1","4","3","0","2","2","4"
"2020/01/15 6:37:19 PM PST","76165","3","4","4","4","0","0","3","3","3","4","3","3","3","0","3","3","4","4","4","2","0","1","","3","4","3","3","3","0","4","3","3","3","3","3","1","2","3","1","0","","3","3","3","3","4","2","0","4","3","3","3","2","2","4","2","4","4","3"
"2020/01/23 5:22:47 PM PST","64292","4","4","3","4","0","2","0","3","1","3","1","3","2","1","3","3","2","","3","1","0","0","0","0","0","0","0","0","0","0","3","3","3","3","0","3","0","3","3","0","1","0","0","0","0","3","0","0","3","3","2","3","0","3","3","0","4","3","4"
"2020/01/23 5:30:18 PM PST","83506","3","3","3","3","0","1","1","2","1","3","2","3","2","1","3","3","3","3","3","0","0","0","2","2","3","3","3","3","1","1","3","3","3","3","2","2","4","1","1","2","3","3","2","3","2","2","2","1","2","2","3","3","2","2","2","2","3","3","3"
"2020/01/23 5:41:56 PM PST","50475","4","4","4","4","0","1","0","3","2","3","1","3","2","0","2","3","4","4","4","0","0","0","3","3","4","3","4","2","0","2","4","4","4","4","3","2","4","2","1","0","4","3","4","2","0","4","3","0","4","3","3","3","0","4","4","0","3","4","4"
"2020/01/23 5:53:11 PM PST","74923","4","","3","4","0","3","0","3","1","3","4","3","4","0","4","1","1","4","4","0","0","0","4","3","4","4","4","4","0","1","4","4","4","4","3","2","4","1","1","0","4","3","1","3","4","4","2","0","4","3","3","4","4","","4","1","2","4","4"
"2020/01/23 6:29:39 PM PST","12675","3","4","4","4","0","0","0","2","4","4","2","3","1","0","2","2","2","4","4","1","0","0","1","3","4","4","4","3","0","4","4","4","4","4","2","2","4","2","2","1","3","3","3","3","0","2","2","0","3","2","3","2","1","4","4","0","3","4","4"
"2020/01/23 6:40:17 PM PST","11469","4","4","4","4","0","1","1","3","2","2","3","4","2","0","3","3","3","4","4","0","0","0","1","1","3","4","4","4","0","4","4","4","4","4","2","2","2","2","1","3","4","4","4","1","2","2","2","1","3","2","4","3","1","1","4","3","3","4","4"
"2020/01/23 6:57:04 PM PST","90582","4","4","3","3","0","3","1","2","3","4","3","3","2","0","2","0","1","2","3","2","1","0","3","4","3","3","2","2","3","3","4","3","3","4","2","2","0","2","2","1","3","3","2","2","3","0","4","2","2","0","2","2","1","2","2","2","4","2","2"
"2020/01/23 7:02:46 PM PST","38002","4","4","4","4","0","1","1","3","0","3","3","3","3","1","3","3","3","4","3","0","0","0","2","2","4","3","4","4","0","1","4","4","4","4","3","1","3","2","1","0","3","4","3","2","3","3","2","0","3","3","4","3","1","4","4","","3","4","4"
"2020/01/23 7:10:39 PM PST","30963","4","4","4","4","0","0","0","4","3","3","4","4","3","0","3","4","4","4","4","0","0","0","3","3","4","4","4","4","2","4","4","4","4","4","3","3","4","1","0","0","3","3","2","4","3","4","4","0","4","2","4","3","3","4","4","4","3","4","4"
"2020/01/24 2:14:19 PM PST","17339","3","4","4","4","0","3","0","4","2","3","1","3","3","0","2","0","3","4","3","1","0","0","2","2","3","3","3","1","0","1","4","4","4","4","0","4","1","2","2","0","3","1","2","2","1","1","2","0","3","2","3","2","0","3","4","1","2","4","3"
"2020/01/24 2:36:43 PM PST","87034","4","4","4","3","0","0","1","3","1","3","4","4","3","0","3","3","2","4","3","0","2","0","3","4","4","4","3","3","0","3","3","4","4","4","1","2","3","3","1","0","3","3","3","2","3","3","3","0","4","2","2","3","0","3","4","1","2","3","4"
"2020/01/27 1:04:50 PM PST","61827","4","4","4","4","0","0","1","4","1","3","3","4","3","0","4","3","2","4","4","1","0","0","3","4","4","4","4","3","0","0","4","4","4","4","1","3","4","4","3","0","4","4","4","3","4","4","0","0","4","4","4","4","3","4","4","3","2","4","4"
"2020/01/27 1:09:54 PM PST","26570","4","4","4","3","1","2","1","2","2","3","1","3","2","0","1","3","3","3","3","2","1","1","3","2","4","3","3","1","0","1","3","3","3","2","2","2","2","2","1","0","3","4","3","2","2","2","1","0","1","3","3","3","1","4","3","3","4","4","4"
"2020/01/28 11:55:55 AM PST","39100","1","3","3","2","0","1","0","2","2","2","2","2","2","1","2","1","1","3","3","0","0","0","1","3","2","3","1","2","0","1","2","2","3","3","2","1","2","2","2","0","3","2","2","3","1","2","3","1","1","0","1","2","0","1","2","1","1","3","2"
"2020/01/28 12:07:42 PM PST","19584","4","4","4","4","0","0","0","1","3","2","4","4","0","0","0","4","4","4","2","0","0","0","4","4","4","4","4","4","1","1","4","4","4","1","4","0","4","0","0","0","4","4","4","4","4","4","3","1","3","1","3","1","4","4","3","4","4","4","4"
"2020/01/28 1:44:36 PM PST","90235","4","4","4","4","0","2","0","3","1","3","3","4","4","0","4","3","3","4","3","0","0","0","4","4","4","3","4","2","0","0","4","4","3","3","4","3","3","3","3","1","4","3","3","3","4","4","3","0","3","2","3","3","3","4","4","0","3","4","4"
"2020/01/28 2:26:48 PM PST","31742","3","4","4","4","0","1","3","4","2","2","4","2","0","0","2","3","1","4","4","1","3","0","0","4","3","4","4","4","0","4","4","4","4","4","4","2","4","1","1","0","3","2","3","3","2","2","3","0","3","3","2","2","3","3","4","2","2","3","4"
"2020/01/28 3:30:29 PM PST","11434","3","4","4","3","1","0","2","2","2","3","4","3","2","2","2","1","1","3","4","0","0","0","2","2","2","4","2","3","0","3","3","4","3","4","3","1","3","1","0","1","3","4","2","3","4","4","1","0","3","3","1","2","2","3","3","2","2","2","2"
"2020/01/28 4:04:57 PM PST","27641","4","4","3","4","0","1","2","4","2","4","4","4","3","0","3","4","4","4","3","0","0","0","3","3","4","4","4","4","0","1","4","4","4","4","3","1","1","1","1","1","3","2","4","3","2","3","3","1","4","2","3","3","3","4","3","2","4","4","4"
"2020/01/29 4:07:14 PM PST","40509","4","4","2","2","0","1","0","2","3","2","1","3","2","1","2","0","0","3","3","0","0","0","0","2","3","2","3","0","0","1","3","3","3","2","1","3","0","4","2","1","4","2","2","2","1","4","3","0","3","3","3","4","1","1","3","0","2","4","2"
"2020/01/29 7:01:22 PM PST","78304","4","1","4","1","3","0","2","3","3","4","3","2","0","0","1","3","3","3","3","3","3","1","3","3","4","4","4","1","3","4","4","3","4","4","2","3","3","1","2","0","4","1","3","3","1","1","3","1","4","1","3","1","0","4","4","3","3","3","2"
